DogName,CollarID,x,y,Timestamp,DOP,State,Sex
Abel,27416,24.2084054,-18.0717702,2018-12-09T03:00:27Z,1.6,Resident,M
Abel,27416,24.2062546,-18.072079,2018-12-08T23:00:45Z,1,Resident,M
Abel,27416,24.2076547,-18.0712906,2018-12-08T19:00:55Z,1.2,Resident,M
Abel,27416,24.1772225,-18.0647011,2018-12-08T15:00:41Z,1.4,Resident,M
Abel,27416,24.1764667,-18.0701997,2018-12-08T07:00:37Z,1.2,Resident,M
Abel,27416,24.2202987,-18.1380638,2018-12-08T03:01:06Z,1.8,Resident,M
Abel,27416,24.2214339,-18.1387956,2018-12-07T23:00:36Z,1.2,Resident,M
Abel,27416,24.2249594,-18.1301543,2018-12-07T19:00:46Z,1.6,Resident,M
Abel,27416,24.2900769,-18.1914246,2018-12-07T15:00:40Z,1,Resident,M
Abel,27416,24.2899015,-18.192496,2018-12-07T07:00:44Z,1.2,Resident,M
Abel,27416,24.2953932,-18.2082096,2018-12-07T03:00:40Z,1.8,Resident,M
Abel,27416,24.2952809,-18.2082056,2018-12-06T23:00:38Z,1,Resident,M
Abel,27416,24.2953843,-18.2082346,2018-12-06T19:00:44Z,1,Resident,M
Abel,27416,24.2982639,-18.2032436,2018-12-06T15:00:42Z,2,Resident,M
Abel,27416,24.2981931,-18.2031006,2018-12-06T07:00:32Z,1,Resident,M
Abel,27416,24.2441752,-18.1643883,2018-12-06T03:00:18Z,1.2,Resident,M
Abel,27416,24.2443487,-18.1873975,2018-12-05T23:00:25Z,1.2,Resident,M
Abel,27416,24.2440651,-18.1874209,2018-12-05T19:00:58Z,1,Resident,M
Abel,27416,NA,NA,2018-12-05T15:03:00Z,0,Resident,M
Abel,27416,24.2976302,-18.1854345,2018-12-05T07:00:21Z,1,Resident,M
Abel,27416,24.3183343,-18.2358774,2018-12-05T03:00:44Z,2.2,Resident,M
Abel,27416,24.3097341,-18.2297871,2018-12-04T23:00:34Z,1,Resident,M
Abel,27416,24.3101953,-18.2298794,2018-12-04T19:00:24Z,1.2,Resident,M
Abel,27416,24.3008175,-18.2098693,2018-12-04T15:00:55Z,1,Resident,M
Abel,27416,24.3046212,-18.2187997,2018-12-04T09:00:38Z,1.6,Resident,M
Abel,27416,24.3089573,-18.2164182,2018-12-04T07:00:41Z,1,Resident,M
Abel,27416,24.3054702,-18.1594075,2018-12-04T05:00:18Z,2.2,Resident,M
Abel,27416,24.2641137,-18.1469369,2018-12-04T03:00:24Z,1.2,Resident,M
Abel,27416,24.2623306,-18.1462891,2018-12-04T01:00:20Z,1,Resident,M
Abel,27416,24.2622261,-18.1463862,2018-12-03T23:00:23Z,1,Resident,M
Abel,27416,24.262271,-18.1464639,2018-12-03T21:00:44Z,1.4,Resident,M
Abel,27416,24.262241,-18.1463414,2018-12-03T19:00:27Z,1.2,Resident,M
Abel,27416,24.2604564,-18.1351953,2018-12-03T17:00:13Z,1,Resident,M
Abel,27416,24.2295124,-18.1291138,2018-12-03T15:00:41Z,1,Resident,M
Abel,27416,24.2305053,-18.1259268,2018-12-03T07:00:53Z,1,Resident,M
Abel,27416,24.310948,-18.2266331,2018-12-03T03:00:36Z,1.6,Resident,M
Abel,27416,24.3067639,-18.2021854,2018-12-02T23:00:40Z,1,Resident,M
